"Story","Title","Result","Date","Stability","Duration (s)"
"When interacting with users using tasks","Create user","SUCCESS","2023-01-14T12:36:41.986542973Z[Etc/UTC]","0.0","0.55"
"When interacting with users using tasks","List users","SUCCESS","2023-01-14T12:36:42.553770554Z[Etc/UTC]","0.0","0.11"
