"Story","Title","Result","Date","Stability","Duration (s)"
"When interacting with users using tasks","Find user by id","SUCCESS","2023-01-14T12:36:37.653167615Z[Etc/UTC]","0.0","4.27"
"When interacting with users using tasks","Create user","SUCCESS","2023-01-14T12:36:41.986542973Z[Etc/UTC]","0.0","0.55"
"When interacting with users using tasks","List users","SUCCESS","2023-01-14T12:36:42.553770554Z[Etc/UTC]","0.0","0.11"
"When interacting with users","Find user by id","SUCCESS","2023-01-14T12:36:42.703460333Z[Etc/UTC]","0.0","0.15"
"When interacting with users","Delete user","SUCCESS","2023-01-14T12:36:42.857047917Z[Etc/UTC]","0.0","0.28"
"When interacting with users","Modify user","SUCCESS","2023-01-14T12:36:43.148144856Z[Etc/UTC]","0.0","0.26"
"When interacting with users","Create user","SUCCESS","2023-01-14T12:36:43.415544565Z[Etc/UTC]","0.0","0.25"
"When interacting with users","List users","SUCCESS","2023-01-14T12:36:43.676610806Z[Etc/UTC]","0.0","0.12"
"When interacting with users","Find user by id and parse object","SUCCESS","2023-01-14T12:36:43.811411289Z[Etc/UTC]","0.0","0.25"
