"Story","Title","Result","Date","Stability","Duration (s)"
"When interacting with users using tasks","Create user","SUCCESS","2023-01-14T11:01:56.823621731Z[Etc/UTC]","0.0","0.53"
"When interacting with users using tasks","List users","SUCCESS","2023-01-14T11:01:57.361982899Z[Etc/UTC]","0.0","0.13"
"When interacting with users","Find user by id","SUCCESS","2023-01-14T11:01:57.532892465Z[Etc/UTC]","0.0","0.17"
"When interacting with users","Delete user","SUCCESS","2023-01-14T11:01:57.709232081Z[Etc/UTC]","0.0","0.26"
"When interacting with users","Modify user","SUCCESS","2023-01-14T11:01:57.974118307Z[Etc/UTC]","0.0","0.3"
"When interacting with users","Create user","SUCCESS","2023-01-14T11:01:58.278356895Z[Etc/UTC]","0.0","0.25"
"When interacting with users","List users","SUCCESS","2023-01-14T11:01:58.541427405Z[Etc/UTC]","0.0","0.11"
"When interacting with users","Find user by id and parse object","SUCCESS","2023-01-14T11:01:58.665966046Z[Etc/UTC]","0.0","0.17"
