"Story","Title","Result","Date","Stability","Duration (s)"
"When interacting with users using tasks","Create user","SUCCESS","2023-01-14T11:51:17.357165867Z[Etc/UTC]","0.0","0.49"
"When interacting with users using tasks","List users","SUCCESS","2023-01-14T11:51:17.862778696Z[Etc/UTC]","0.0","0.13"
"When interacting with users","Find user by id","SUCCESS","2023-01-14T11:51:18.017985186Z[Etc/UTC]","0.0","0.14"
"When interacting with users","Delete user","SUCCESS","2023-01-14T11:51:18.171502162Z[Etc/UTC]","0.0","0.29"
"When interacting with users","Modify user","SUCCESS","2023-01-14T11:51:18.462898972Z[Etc/UTC]","0.0","0.32"
"When interacting with users","Create user","SUCCESS","2023-01-14T11:51:18.790280904Z[Etc/UTC]","0.0","0.28"
"When interacting with users","List users","SUCCESS","2023-01-14T11:51:19.071191621Z[Etc/UTC]","0.0","0.09"
"When interacting with users","Find user by id and parse object","SUCCESS","2023-01-14T11:51:19.168642594Z[Etc/UTC]","0.0","0.21"
